fid,prow,pcol,grow,prow_pcol_grow,exp,plot.x,sub_plot,exp_plot_subplot,exp_plot,experiment,plot.y,oatName,peaName,pea_type,oat_percent,pea_percent
145,2,6,1,2_6_1,diversity,76,3,diversity_76_3,diversity76,diversity,76,HAYDEN,Icicle Winter Peas,forage,75,75
146,2,6,2,2_6_2,diversity,76,2,diversity_76_2,diversity76,diversity,76,HAYDEN,Icicle Winter Peas,forage,75,75
147,2,6,3,2_6_3,diversity,76,1,diversity_76_1,diversity76,diversity,76,HAYDEN,Icicle Winter Peas,forage,75,75
148,2,7,1,2_7_1,diversity,75,3,diversity_75_3,diversity75,diversity,75,NATTY,Icicle Winter Peas,forage,75,75
149,2,7,2,2_7_2,diversity,75,2,diversity_75_2,diversity75,diversity,75,NATTY,Icicle Winter Peas,forage,75,75
150,2,7,3,2_7_3,diversity,75,1,diversity_75_1,diversity75,diversity,75,NATTY,Icicle Winter Peas,forage,75,75
151,2,8,1,2_8_1,diversity,74,3,diversity_74_3,diversity74,diversity,74,MN18038X_008,NDP150231Y,field,75,75
152,2,8,2,2_8_2,diversity,74,2,diversity_74_2,diversity74,diversity,74,MN18038X_008,NDP150231Y,field,75,75
153,2,8,3,2_8_3,diversity,74,1,diversity_74_1,diversity74,diversity,74,MN18038X_008,NDP150231Y,field,75,75
154,2,9,1,2_9_1,diversity,73,3,diversity_73_3,diversity73,diversity,73,OT3120,Maxum,forage,75,75
155,2,9,2,2_9_2,diversity,73,2,diversity_73_2,diversity73,diversity,73,OT3120,Maxum,forage,75,75
156,2,9,3,2_9_3,diversity,73,1,diversity_73_1,diversity73,diversity,73,OT3120,Maxum,forage,75,75
157,2,10,1,2_10_1,diversity,72,3,diversity_72_3,diversity72,diversity,72,SD181377,AUSTRIAN FIELD PEAS,forage,75,75
158,2,10,2,2_10_2,diversity,72,2,diversity_72_2,diversity72,diversity,72,SD181377,AUSTRIAN FIELD PEAS,forage,75,75
159,2,10,3,2_10_3,diversity,72,1,diversity_72_1,diversity72,diversity,72,SD181377,AUSTRIAN FIELD PEAS,forage,75,75
160,2,11,1,2_11_1,diversity,71,3,diversity_71_3,diversity71,diversity,71,IL17-7334,ND Dawn,field,75,75
161,2,11,2,2_11_2,diversity,71,2,diversity_71_2,diversity71,diversity,71,IL17-7334,ND Dawn,field,75,75
162,2,11,3,2_11_3,diversity,71,1,diversity_71_1,diversity71,diversity,71,IL17-7334,ND Dawn,field,75,75
163,2,12,1,2_12_1,diversity,70,3,diversity_70_3,diversity70,diversity,70,SD191467,NDP140510Y,field,75,75
164,2,12,2,2_12_2,diversity,70,2,diversity_70_2,diversity70,diversity,70,SD191467,NDP140510Y,field,75,75
